,0
532,54.0
533,52.0
534,51.0
535,51.0
536,50.0
537,49.0
538,48.0
539,47.0
540,46.0
541,45.0
542,44.0
543,44.0
544,44.0
545,44.0
546,44.0
547,44.0
548,43.0
549,43.0
550,42.0
551,41.0
552,40.0
553,39.0
554,38.0
555,36.0
556,34.0
557,33.0
558,31.0
559,29.0
560,28.0
561,26.0
562,24.0
563,23.0
564,22.0
565,20.0
566,19.0
567,18.0
568,16.0
569,16.0
570,15.0
571,14.0
572,13.0
573,13.0
574,12.0
575,12.0
576,12.0
577,11.0
578,11.0
579,11.0
580,10.0
581,10.0
582,10.0
583,9.0
584,9.0
585,9.0
586,8.0
587,8.0
588,8.0
589,8.0
590,7.0
591,7.0
592,7.0
593,6.0
594,6.0
595,6.0
596,6.0
597,6.0
598,6.0
599,6.0
600,5.0
601,5.0
602,5.0
603,5.0
604,5.0
605,5.0
606,5.0
607,5.0
608,6.0
609,6.0
610,7.0
611,7.0
612,7.0
613,8.0
614,8.0
615,8.0
616,8.0
617,8.0
618,8.0
619,8.0
620,8.0
621,9.0
622,9.0
623,10.0
624,10.0
625,11.0
626,12.0
627,14.0
628,15.0
629,17.0
630,19.0
631,21.0
632,25.0
633,30.0
634,36.0
635,41.0
636,46.0
637,50.0
638,53.0
639,57.0
640,63.0
641,68.0
642,72.0
643,77.0
644,84.0
645,92.0
646,98.0
647,103.0
648,107.0
649,111.0
650,117.0
651,122.0
652,131.0
653,141.0
654,149.0
655,153.0
656,156.0
657,160.0
658,159.0
659,153.0
660,145.0
661,138.0
662,122.0
663,109.0
664,99.0
665,94.0
666,90.0
667,87.0
668,83.0
669,81.0
670,81.0
671,81.0
672,83.0
673,84.0
674,84.0
675,85.0
676,86.0
677,85.0
678,87.0
679,91.0
680,92.0
681,91.0
682,92.0
683,92.0
684,93.0
685,96.0
686,101.0
687,103.0
688,109.0
689,116.0
690,118.0
691,119.0
692,117.0
693,115.0
694,114.0
695,114.0
696,117.0
697,114.0
698,113.0
699,112.0
700,114.0
701,113.0
702,111.0
703,113.0
704,111.0
705,110.0
706,107.0
707,105.0
708,103.0
709,104.0
710,105.0
711,108.0
712,107.0
713,105.0
714,102.0
715,101.0
716,100.0
717,102.0
718,100.0
719,100.0
720,99.0
721,99.0
722,97.0
723,97.0
724,96.0
725,96.0
726,99.0
727,96.0
728,96.0
729,99.0
730,97.0
731,97.0
732,95.0
733,94.0
734,94.0
735,92.0
736,97.0
737,98.0
738,98.0
739,100.0
740,103.0
741,101.0
742,102.0
743,103.0
744,103.0
745,103.0
746,104.0
747,105.0
748,103.0
749,101.0
750,100.0
751,101.0
752,103.0
753,106.0
754,108.0
755,104.0
756,101.0
757,100.0
758,98.0
759,98.0
760,99.0
761,103.0
762,102.0
763,102.0
764,103.0
765,104.0
766,106.0
767,103.0
768,102.0
769,100.0
770,99.0
771,99.0
772,103.0
773,104.0
774,104.0
775,100.0
776,99.0
777,98.0
778,100.0
779,101.0
780,102.0
781,100.0
782,98.0
783,97.0
784,100.0
785,101.0
786,101.0
787,100.0
788,99.0
789,97.0
790,97.0
791,98.0
792,95.0
793,90.0
794,86.0
795,83.0
796,85.0
797,86.0
798,85.0
799,83.0
800,84.0
801,86.0
802,86.0
803,87.0
804,87.0
805,85.0
806,82.0
807,80.0
808,78.0
809,76.0
810,74.0
811,75.0
812,74.0
813,76.0
814,77.0
815,76.0
816,74.0
817,71.0
818,68.0
819,65.0
820,62.0
821,61.0
822,62.0
823,61.0
824,60.0
825,58.0
826,56.0
827,54.0
828,52.0
829,50.0
830,49.0
831,47.0
832,46.0
833,46.0
834,45.0
835,45.0
836,44.0
837,43.0
838,43.0
839,42.0
840,41.0
841,40.0
842,39.0
843,38.0
844,37.0
845,35.0
846,34.0
847,32.0
848,31.0
849,29.0
850,27.0
851,26.0
852,24.0
853,23.0
854,22.0
855,21.0
856,20.0
857,18.0
858,17.0
859,16.0
860,16.0
861,15.0
862,14.0
863,14.0
864,13.0
865,13.0
866,12.0
867,12.0
868,11.0
869,11.0
870,11.0
871,10.0
872,10.0
873,10.0
874,9.0
875,9.0
876,9.0
877,9.0
878,8.0
879,8.0
880,8.0
881,8.0
882,7.0
883,7.0
884,7.0
885,7.0
886,7.0
887,7.0
888,7.0
889,7.0
890,7.0
891,7.0
892,6.0
893,6.0
894,6.0
895,6.0
896,6.0
897,6.0
898,6.0
899,6.0
900,6.0
901,6.0
902,7.0
903,7.0
904,7.0
905,7.0
906,7.0
907,7.0
908,7.0
909,7.0
910,7.0
911,8.0
912,9.0
913,9.0
914,10.0
915,11.0
916,12.0
917,14.0
918,16.0
919,20.0
920,24.0
921,30.0
922,36.0
923,42.0
924,46.0
925,51.0
926,55.0
927,59.0
928,66.0
929,72.0
930,78.0
931,84.0
932,89.0
933,95.0
934,101.0
935,105.0
936,109.0
937,113.0
938,118.0
939,124.0
940,135.0
941,143.0
942,149.0
943,156.0
944,157.0
945,156.0
946,155.0
947,150.0
948,139.0
949,133.0
950,120.0
951,109.0
952,100.0
953,95.0
954,94.0
955,89.0
956,86.0
957,84.0
958,81.0
959,81.0
960,81.0
961,82.0
962,86.0
963,87.0
964,86.0
965,86.0
966,86.0
967,88.0
968,90.0
969,91.0
970,92.0
971,96.0
972,98.0
973,101.0
974,105.0
975,109.0
976,112.0
977,113.0
978,115.0
979,116.0
980,117.0
981,116.0
982,115.0
983,117.0
984,117.0
985,117.0
986,115.0
987,113.0
988,114.0
989,115.0
990,116.0
991,113.0
992,110.0
993,109.0
994,109.0
995,110.0
996,109.0
997,108.0
998,106.0
999,105.0
1000,101.0
1001,102.0
1002,104.0
1003,103.0
1004,102.0
1005,101.0
1006,102.0
1007,101.0
1008,103.0
1009,103.0
1010,102.0
1011,102.0
1012,103.0
1013,104.0
1014,105.0
1015,105.0
1016,104.0
1017,103.0
1018,101.0
1019,102.0
1020,103.0
1021,106.0
1022,109.0
1023,107.0
1024,106.0
1025,106.0
1026,103.0
1027,100.0
1028,98.0
1029,101.0
1030,103.0
1031,103.0
1032,105.0
1033,106.0
1034,104.0
1035,103.0
1036,102.0
1037,101.0
1038,103.0
1039,105.0
1040,104.0
1041,105.0
1042,106.0
1043,105.0
1044,105.0
1045,104.0
1046,106.0
1047,105.0
1048,103.0
1049,105.0
1050,103.0
1051,104.0
1052,104.0
1053,107.0
1054,108.0
1055,105.0
1056,102.0
1057,103.0
1058,100.0
1059,98.0
1060,99.0
1061,98.0
1062,95.0
1063,93.0
1064,92.0
1065,93.0
1066,94.0
1067,96.0
1068,97.0
1069,95.0
1070,93.0
1071,94.0
1072,97.0
1073,100.0
1074,100.0
1075,98.0
1076,96.0
1077,95.0
1078,94.0
1079,95.0
1080,95.0
1081,93.0
1082,90.0
1083,87.0
1084,88.0
1085,89.0
1086,86.0
1087,84.0
1088,82.0
1089,82.0
1090,81.0
1091,81.0
1092,78.0
1093,79.0
1094,79.0
1095,80.0
1096,81.0
1097,80.0
1098,77.0
1099,74.0
1100,74.0
1101,79.0
1102,79.0
1103,79.0
1104,80.0
1105,83.0
1106,81.0
1107,81.0
1108,78.0
1109,75.0
1110,73.0
1111,71.0
1112,69.0
1113,67.0
1114,67.0
1115,65.0
1116,64.0
1117,62.0
1118,60.0
1119,58.0
1120,57.0
1121,56.0
1122,56.0
1123,55.0
1124,54.0
1125,53.0
1126,52.0
1127,51.0
1128,50.0
1129,48.0
1130,47.0
1131,46.0
1132,45.0
1133,45.0
1134,44.0
1135,44.0
1136,43.0
1137,41.0
1138,40.0
1139,38.0
1140,36.0
1141,33.0
1142,31.0
1143,29.0
1144,26.0
1145,24.0
1146,22.0
1147,21.0
1148,19.0
1149,18.0
1150,17.0
1151,16.0
