,0
532,50.0
533,56.0
534,70.0
535,49.0
536,49.0
537,54.0
538,48.0
539,37.0
540,53.0
541,52.0
542,71.0
543,59.0
544,45.0
545,45.0
546,45.0
547,57.0
548,47.0
549,38.0
550,35.0
551,37.0
552,31.0
553,32.0
554,38.0
555,34.0
556,35.0
557,23.0
558,37.0
559,28.0
560,18.0
561,24.0
562,17.0
563,16.0
564,15.0
565,16.0
566,15.0
567,24.0
568,17.0
569,14.0
570,22.0
571,12.0
572,15.0
573,23.0
574,13.0
575,12.0
576,7.0
577,8.0
578,5.0
579,19.0
580,8.0
581,9.0
582,13.0
583,6.0
584,9.0
585,4.0
586,2.0
587,6.0
588,3.0
589,5.0
590,2.0
591,7.0
592,3.0
593,4.0
594,3.0
595,5.0
596,3.0
597,1.0
598,1.0
599,6.0
600,2.0
601,5.0
602,2.0
603,1.0
604,3.0
605,3.0
606,10.0
607,12.0
608,8.0
609,0.0
610,5.0
611,3.0
612,4.0
613,0.0
614,5.0
615,6.0
616,4.0
617,4.0
618,6.0
619,7.0
620,6.0
621,8.0
622,13.0
623,8.0
624,9.0
625,8.0
626,17.0
627,7.0
628,9.0
629,22.0
630,22.0
631,26.0
632,39.0
633,37.0
634,32.0
635,39.0
636,43.0
637,42.0
638,54.0
639,67.0
640,64.0
641,50.0
642,72.0
643,102.0
644,103.0
645,101.0
646,100.0
647,96.0
648,96.0
649,111.0
650,107.0
651,132.0
652,139.0
653,148.0
654,142.0
655,155.0
656,178.0
657,178.0
658,174.0
659,173.0
660,176.0
661,131.0
662,128.0
663,117.0
664,133.0
665,109.0
666,111.0
667,75.0
668,96.0
669,95.0
670,95.0
671,94.0
672,98.0
673,87.0
674,91.0
675,96.0
676,83.0
677,103.0
678,108.0
679,97.0
680,75.0
681,94.0
682,88.0
683,86.0
684,89.0
685,106.0
686,87.0
687,120.0
688,132.0
689,120.0
690,134.0
691,118.0
692,113.0
693,118.0
694,122.0
695,131.0
696,94.0
697,113.0
698,107.0
699,122.0
700,107.0
701,105.0
702,129.0
703,107.0
704,115.0
705,103.0
706,106.0
707,101.0
708,114.0
709,114.0
710,125.0
711,114.0
712,112.0
713,97.0
714,104.0
715,104.0
716,110.0
717,91.0
718,100.0
719,91.0
720,102.0
721,84.0
722,94.0
723,89.0
724,95.0
725,110.0
726,78.0
727,97.0
728,116.0
729,89.0
730,101.0
731,88.0
732,94.0
733,91.0
734,85.0
735,120.0
736,97.0
737,101.0
738,113.0
739,116.0
740,102.0
741,115.0
742,114.0
743,104.0
744,108.0
745,114.0
746,107.0
747,89.0
748,89.0
749,95.0
750,102.0
751,103.0
752,116.0
753,120.0
754,87.0
755,98.0
756,102.0
757,93.0
758,98.0
759,100.0
760,126.0
761,96.0
762,110.0
763,114.0
764,114.0
765,119.0
766,97.0
767,103.0
768,98.0
769,94.0
770,96.0
771,119.0
772,103.0
773,103.0
774,80.0
775,102.0
776,91.0
777,108.0
778,106.0
779,104.0
780,94.0
781,95.0
782,98.0
783,115.0
784,106.0
785,103.0
786,100.0
787,98.0
788,88.0
789,94.0
790,101.0
791,64.0
792,74.0
793,69.0
794,78.0
795,92.0
796,81.0
797,80.0
798,72.0
799,90.0
800,91.0
801,87.0
802,89.0
803,90.0
804,81.0
805,71.0
806,82.0
807,72.0
808,67.0
809,74.0
810,79.0
811,71.0
812,84.0
813,76.0
814,71.0
815,73.0
816,56.0
817,64.0
818,44.0
819,59.0
820,74.0
821,69.0
822,61.0
823,57.0
824,61.0
825,48.0
826,50.0
827,53.0
828,50.0
829,46.0
830,49.0
831,67.0
832,53.0
833,46.0
834,50.0
835,46.0
836,50.0
837,44.0
838,40.0
839,46.0
840,32.0
841,46.0
842,40.0
843,38.0
844,38.0
845,32.0
846,34.0
847,27.0
848,22.0
849,29.0
850,26.0
851,25.0
852,23.0
853,17.0
854,22.0
855,18.0
856,13.0
857,21.0
858,16.0
859,18.0
860,14.0
861,18.0
862,19.0
863,13.0
864,10.0
865,17.0
866,14.0
867,15.0
868,4.0
869,14.0
870,9.0
871,6.0
872,13.0
873,9.0
874,9.0
875,9.0
876,9.0
877,4.0
878,6.0
879,6.0
880,8.0
881,4.0
882,6.0
883,6.0
884,9.0
885,8.0
886,3.0
887,2.0
888,2.0
889,4.0
890,3.0
891,6.0
892,1.0
893,4.0
894,4.0
895,3.0
896,4.0
897,6.0
898,8.0
899,2.0
900,3.0
901,1.0
902,3.0
903,0.0
904,5.0
905,5.0
906,6.0
907,9.0
908,6.0
909,9.0
910,9.0
911,5.0
912,7.0
913,9.0
914,13.0
915,9.0
916,18.0
917,25.0
918,15.0
919,26.0
920,32.0
921,38.0
922,32.0
923,40.0
924,48.0
925,51.0
926,49.0
927,87.0
928,57.0
929,79.0
930,81.0
931,82.0
932,98.0
933,100.0
934,93.0
935,97.0
936,95.0
937,106.0
938,110.0
939,146.0
940,134.0
941,142.0
942,163.0
943,157.0
944,158.0
945,173.0
946,174.0
947,153.0
948,171.0
949,138.0
950,132.0
951,124.0
952,128.0
953,132.0
954,97.0
955,102.0
956,89.0
957,82.0
958,96.0
959,89.0
960,96.0
961,112.0
962,92.0
963,81.0
964,100.0
965,83.0
966,103.0
967,97.0
968,85.0
969,94.0
970,107.0
971,93.0
972,105.0
973,108.0
974,111.0
975,113.0
976,109.0
977,118.0
978,115.0
979,119.0
980,116.0
981,109.0
982,129.0
983,118.0
984,123.0
985,113.0
986,103.0
987,130.0
988,124.0
989,125.0
990,115.0
991,109.0
992,112.0
993,119.0
994,123.0
995,113.0
996,116.0
997,106.0
998,111.0
999,89.0
1000,110.0
1001,118.0
1002,102.0
1003,102.0
1004,102.0
1005,108.0
1006,97.0
1007,118.0
1008,108.0
1009,102.0
1010,107.0
1011,114.0
1012,112.0
1013,116.0
1014,107.0
1015,107.0
1016,102.0
1017,95.0
1018,107.0
1019,101.0
1020,123.0
1021,123.0
1022,104.0
1023,113.0
1024,109.0
1025,95.0
1026,89.0
1027,91.0
1028,113.0
1029,105.0
1030,104.0
1031,112.0
1032,115.0
1033,104.0
1034,108.0
1035,104.0
1036,103.0
1037,112.0
1038,113.0
1039,106.0
1040,112.0
1041,116.0
1042,102.0
1043,111.0
1044,103.0
1045,119.0
1046,98.0
1047,100.0
1048,114.0
1049,93.0
1050,113.0
1051,106.0
1052,120.0
1053,118.0
1054,100.0
1055,92.0
1056,122.0
1057,84.0
1058,91.0
1059,105.0
1060,90.0
1061,78.0
1062,89.0
1063,85.0
1064,92.0
1065,95.0
1066,101.0
1067,97.0
1068,87.0
1069,90.0
1070,105.0
1071,112.0
1072,111.0
1073,106.0
1074,95.0
1075,90.0
1076,93.0
1077,91.0
1078,96.0
1079,85.0
1080,82.0
1081,76.0
1082,76.0
1083,92.0
1084,83.0
1085,69.0
1086,80.0
1087,75.0
1088,86.0
1089,70.0
1090,87.0
1091,58.0
1092,93.0
1093,74.0
1094,87.0
1095,87.0
1096,78.0
1097,61.0
1098,71.0
1099,83.0
1100,103.0
1101,67.0
1102,85.0
1103,89.0
1104,92.0
1105,75.0
1106,85.0
1107,67.0
1108,64.0
1109,73.0
1110,72.0
1111,57.0
1112,67.0
1113,72.0
1114,58.0
1115,66.0
1116,50.0
1117,57.0
1118,54.0
1119,71.0
1120,54.0
1121,70.0
1122,57.0
1123,58.0
1124,65.0
1125,52.0
1126,47.0
1127,52.0
1128,50.0
1129,45.0
1130,58.0
1131,61.0
1132,54.0
1133,44.0
1134,34.0
1135,22.0
1136,30.0
1137,29.0
1138,26.0
1139,27.0
1140,24.0
1141,23.0
1142,25.0
1143,18.0
1144,18.0
1145,20.0
1146,20.0
1147,23.0
1148,21.0
1149,21.0
1150,23.0
1151,14.0
